+62 878-8603-0550,Rujak Bang Jali,https://www.google.co.id/maps/place/Rujak+Bang+Jali/,https://lh3.googleusercontent.com/proxy/taFMoy1eWK6nVrBgpalqQF3LE__PSMjl0ccxgyJIxjKKXc8yv2v-7ijBvIIG8Erp0fBUPP0WF7OAmsVvojST0FMunzALN84-limmhTzhI-6RMt8Ipc0x51Gdf5v1jUcT1YEDA726I2VYEVy77F5sLTogOExHqg=w564-h240-k-no,"Dapur Raya 1 Pasar Raya Blok M Lt LG Jalan Iskandarsyah 2, Jakarta Selatan, RT.3/RW.1, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160, Indonesia"
+62 813-8230-6670,"RUJAK BUAH ""KIBO"" ulek & serut",https://www.google.co.id/maps/place/RUJAK+BUAH+%22KIBO%22+ulek+%26+serut/,https://lh5.googleusercontent.com/p/AF1QipPb34nVvNr-u0SWtwWHoex5PekHc3s522Th-5Ma=w426-h240-k-no,"Jl. Kemajuan No.3, RW.4, Petukangan Sel., Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12270, Indonesia"
+62 857-7668-5871,Rumah Rujak Cingur Mba Ayu,"https://www.google.co.id/maps/place/Rumah+Rujak+Cingur+Mba+Ayu,+Jl.+Gunuk+Raya+No.35,+RT.3%2FRW.3,+Pejaten+Tim.,+Kec.+Ps.+Minggu,+Kota+Jakarta+Selatan,+Daerah+Khusus+Ibukota+Jakarta+12510,+Indonesia/",https://lh5.googleusercontent.com/p/AF1QipMGsv23Fue6Dch1umnaEHSZ12t7O6CapIkjiCRO=w408-h408-k-no,"Jl. Gunuk Raya No.35, RT.3/RW.3, Pejaten Tim., Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510, Indonesia"
+62 896-7607-2210,Rujak Uleg / Serut Batu Belah,https://www.google.co.id/maps/place/Rujak+Uleg+%2F+Serut+Batu+Belah/,https://lh5.googleusercontent.com/p/AF1QipMTrLY6CGILjjN6azWdfAnoyRg9O2tyNu3K2H6U=w408-h306-k-no,"Jl. Batu Belah No.108A, RT.13/RW.4, Cipedak, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630, Indonesia"
+62 821-7440-7060,Rujak Padang Aroma Muaro,https://www.google.co.id/maps/place/Rujak+Padang+Aroma+Muaro/,https://lh5.googleusercontent.com/p/AF1QipNvalc2_OuZDvpk5yAYeg4e9Og0dCg09B56NN8r=w426-h240-k-no,"Jl. Tebah II No.13, RT.14/RW.3, Gunung, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12120, Indonesia"
+62 812-9160-0189,Rujak Uleg Serut Batu Belah - Ps. Minggu,https://www.google.co.id/maps/place/Rujak+Uleg+Serut+Batu+Belah+-+Ps.+Minggu/,https://lh5.googleusercontent.com/p/AF1QipNtihWktqcEUdW4ek3nookfWTvtYjNYvqEm-Qcp=w426-h240-k-no,"Jalan Masjid Al mamuriyah RT. 14 RT.4/RW.7, Ps. Minggu Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta, RT.4/RW.8, Pejaten Tim., Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510, Indonesia"
+62 812-1857-7695,Rujak Buah Cidodol,https://www.google.co.id/maps/place/Rujak+Buah+Cidodol/,https://lh5.googleusercontent.com/p/AF1QipNwoLedLVXxX7_tqS4KLfCKfTlHXYI2em67eYSa=w408-h244-k-no,"Jl. Masjid Jami' Nurul Yaqin No.8, RT.1/RW.12, Grogol Sel., Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12220, Indonesia"
+62 821-1023-8326,ASINAN SAYUR & RUJAK JUHI (SI BUHUN) BLOK M,"https://www.google.co.id/maps/place/ASINAN+SAYUR+%26+RUJAK+JUHI+(SI+BUHUN)+BLOK+M,+Jl.+Panglima+Polim+II,+RT.1%2FRW.3,+Melawai,+Kec.+Kby.+Baru,+Kota+Jakarta+Selatan,+Daerah+Khusus+Ibukota+Jakarta+12160,+Indonesia/",https://lh5.googleusercontent.com/p/AF1QipPPRR5v5LRxh87ZtEoSN0dstNfDCq7VOOJ6Krep=w408-h878-k-no,"Jl. Panglima Polim II, RT.1/RW.3, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160, Indonesia"
+62 812-8686-0943,Rujak Gebrak Mayestik,https://www.google.co.id/maps/place/Rujak+Gebrak+Mayestik/,https://lh5.googleusercontent.com/p/AF1QipO0wp8wn0Mnu0yYEbMYCH8E63rKlkAjwJeLxMvC=w408-h544-k-no,"RT.14/RW.3, Gunung, Kebayoran Baru, South Jakarta City, Jakarta 12120, Indonesia"
"QR2X+6X Pengadegan, South Jakarta City, Jakarta, Indonesia",Rujak Buah Perdatam,https://www.google.co.id/maps/place/Rujak+Buah+Perdatam/,https://lh5.googleusercontent.com/p/AF1QipO_8WEyZBUQnfizvoIycYuP2dXmDVAnrQb3c0m3=w408-h544-k-no,"RT.7/RW.8, Pengadegan, Pancoran, South Jakarta City, Jakarta 12770, Indonesia"
+62 877-8559-6041,RUJAK CINTA,https://www.google.co.id/maps/place/RUJAK+CINTA/,https://lh5.googleusercontent.com/p/AF1QipP5Sop0EL3Q3E0XS_W29k6KhG7FcYV4Ps8Q7Of5=w408-h306-k-no,"RT.5/RW.4, East Kuningan, Setia Budi, South Jakarta City, Jakarta 12950, Indonesia"
+62 813-1522-8528,Rujak dan salad buah TNG 999,https://www.google.co.id/maps/place/Rujak+dan+salad+buah+TNG+999/,https://lh5.googleusercontent.com/p/AF1QipOvNNzTvXqypG0OtkCB8hayCIWdaYOW-HvawsfK=w426-h240-k-no,"Jl. Pedurenan Masjid IV No.47, RT.14/RW.4, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940, Indonesia"
+62 813-8083-3372,Asinan Dan Rujak Betawi Menteng Pulo,https://www.google.co.id/maps/place/Asinan+Dan+Rujak+Betawi+Menteng+Pulo/,https://lh5.googleusercontent.com/p/AF1QipNr6BCqCS8wL1obhG--pCZzGxG3IoDTvJ1x3_sB=w433-h240-k-no,"Jl. Sadar No.38, RT.7/RW.3, Manggarai Sel., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12860, Indonesia"
